trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	fix_duration
1	enc	enc00	nan	8	3	788	0	7.68	10.68	0.5
2	enc	enc000	nan	9	3	746	0	11.18	14.18	0.5
3	ctl	ctl0	nan	8	3	743	0	14.68	17.679	6.5
4	enc	enc01	old56	6	3	1588	0	24.179	27.179	2
5	enc	enc02	old11	5	3	847	0	29.178	32.178	1.5
6	enc	enc03	old26	6	3	1093	0	33.678	36.678	1
7	enc	enc04	old70	9	3	1502	0	37.678	40.678	8.5
8	enc	enc05	old65	8	3	966	0	49.177	52.177	2
9	enc	enc06	old52	9	3	1091	0	54.176	57.176	2.5
10	enc	enc07	old34	8	3	845	0	59.676	62.676	1.5
11	ctl	ctl01	nan	8	3	719	0	64.176	67.175	1.5
12	ctl	ctl02	nan	5	3	976	0	68.675	71.675	0.5
13	enc	enc08	old51	6	3	1220	0	72.175	75.175	0.5
14	ctl	ctl03	nan	6	3	778	0	75.675	78.674	2
15	enc	enc09	old25	5	3	1516	0	80.674	83.674	1.5
16	enc	enc10	old29	6	3	1442	0	85.174	88.174	2
17	ctl	ctl04	nan	8	3	607	0	90.173	93.173	7.5
18	enc	enc11	old07	6	3	1168	0	100.673	103.672	5
19	enc	enc12	old18	8	3	1104	0	108.672	111.672	1.5
20	enc	enc13	old78	5	3	1336	0	113.172	116.171	3
21	enc	enc14	old14	9	3	1534	0	119.171	122.171	1
22	enc	enc15	old32	9	3	868	0	123.171	126.171	1.5
23	enc	enc16	old36	5	3	1249	0	127.67	130.67	8.5
24	enc	enc17	old24	5	3	1470	0	139.169	142.169	2
25	enc	enc18	old02	5	3	2030	0	144.169	147.169	1
26	ctl	ctl05	nan	8	3	723	0	148.169	151.168	1.5
27	ctl	ctl06	nan	5	3	627	0	152.668	155.668	6.5
28	enc	enc19	old47	8	3	1447	0	162.168	165.167	1.5
29	enc	enc20	old76	6	3	1387	0	166.667	169.667	6.5
30	enc	enc21	old58	5	3	1848	0	176.166	179.166	3.5
31	ctl	ctl07	nan	5	3	674	0	182.666	185.666	8
32	enc	enc22	old72	6	3	1972	0	193.665	196.665	13
33	enc	enc23	old09	5	3	1425	0	209.664	212.663	1
34	ctl	ctl08	nan	6	3	632	0	213.663	216.663	2.5
35	enc	enc24	old03	8	3	1242	0	219.163	222.163	1.5
36	enc	enc25	old44	5	3	1797	0	223.662	226.662	3.5
37	enc	enc26	old54	9	3	1428	0	230.162	233.162	2
38	enc	enc27	old46	8	3	2281	0	235.162	238.161	3
39	enc	enc28	old15	9	3	1322	0	241.161	244.161	7
40	enc	enc29	old37	8	3	1489	0	251.16	254.16	1
41	enc	enc30	old63	6	3	1685	0	255.16	258.16	0.5
42	ctl	ctl09	nan	9	3	677	0	258.66	261.659	1
