trialnumber	category	trialcode	oldnumber	correctsource	stim_resp	stim_rt	stim_acc	stim_onset	fix_onset	duration
1	ctl	ctl0	nan	5	1	1037	0	4.533	7.533	0.5
2	enc	enc00	nan	8	3	471	0	8.033	11.033	0.5
3	enc	enc000	nan	9	1	1706	0	11.532	14.532	5.5
4	ctl	ctl01	nan	8	3	971	0	20.032	23.032	0.5
5	enc	enc01	old60	6	3	2470	0	23.531	26.531	1
6	enc	enc02	old13	5	1	370	0	27.531	30.531	1
7	enc	enc03	old17	6	1	1494	0	31.531	34.531	1.5
8	enc	enc04	old76	9	3	971	0	36.03	39.03	2
9	enc	enc05	old58	8	3	1472	0	41.03	44.03	3
10	enc	enc06	old51	9	1	1272	0	47.03	50.029	0.5
11	ctl	ctl02	nan	5	3	472	0	50.529	53.529	4
12	ctl	ctl03	nan	6	1	900	0	57.529	60.528	2.5
13	enc	enc07	old36	8	1	1562	0	63.028	66.028	1.5
14	ctl	ctl04	nan	8	1	853	0	67.528	70.528	2
15	enc	enc08	old44	6	1	1938	0	72.527	75.527	3.5
16	enc	enc09	old20	5	1	2048	0	79.027	82.027	0.5
17	ctl	ctl05	nan	8	1	914	0	82.527	85.526	2.5
18	enc	enc10	old37	6	1	2357	0	88.026	91.026	0.5
19	enc	enc11	old07	6	1	1744	0	91.526	94.526	1
20	enc	enc12	old16	8	3	975	0	95.526	98.525	1.5
21	enc	enc13	old70	5	1	1538	0	100.025	103.025	2.5
22	enc	enc14	old21	9	1	2323	0	105.525	108.524	3
23	enc	enc15	old34	9	1	1633	0	111.524	114.524	1
24	enc	enc16	old39	5	3	975	0	115.524	118.524	1.5
25	enc	enc17	old15	5	1	1325	0	120.023	123.023	1.5
26	ctl	ctl06	nan	5	1	1066	0	124.523	127.523	1
27	enc	enc18	old09	5	3	476	0	128.523	131.523	2.5
28	enc	enc19	old40	8	3	1476	0	134.022	137.022	2.5
29	ctl	ctl07	nan	5	1	898	0	139.522	142.522	0.5
30	enc	enc20	old75	6	3	477	0	143.022	146.021	5.5
31	enc	enc21	old64	5	3	1977	0	151.521	154.521	5.5
32	enc	enc22	old73	6	3	978	0	160.02	163.02	2
33	enc	enc23	old08	5	1	1392	0	165.02	168.019	1
34	enc	enc24	old02	8	1	1422	0	169.019	172.019	3
35	enc	enc25	old52	5	3	979	0	175.019	178.019	3.5
36	enc	enc26	old53	9	1	2268	0	181.518	184.518	0.5
37	ctl	ctl08	nan	6	3	979	0	185.018	188.018	1.5
38	ctl	ctl09	nan	9	1	1109	0	189.518	192.517	9.5
39	ctl	ctl10	nan	8	3	479	0	202.017	205.016	2
40	ctl	ctl11	nan	5	3	480	0	207.016	210.016	2
41	enc	enc27	old45	8	3	480	0	212.016	215.016	1
42	ctl	ctl12	nan	9	3	480	0	216.015	219.015	0.5
43	enc	enc28	old25	9	3	1481	0	219.515	222.515	0.5
44	ctl	ctl13	nan	6	3	481	0	223.015	226.015	2
45	enc	enc29	old35	8	3	1981	0	228.014	231.014	4.5
46	enc	enc30	old65	6	1	1594	0	235.514	238.514	3.5
